,TSNE_1,TSNE_2,label
C230517005_CELL5116_N1,17.2304178120075,-1.3033526988784,1
C230517005_CELL5118_N1,36.3411716511175,19.5111971383569,1
C230517005_CELL511_N1,-43.8193010128522,21.5409476892532,0
C230517005_CELL5125_N1,74.2831249649434,-6.76427121325529,1
C230517005_CELL5133_N1,-24.9807636989243,28.4213052340252,2
C230517005_CELL5154_N1,-25.3250162791806,48.8557533240625,2
C230517005_CELL5208_N1,14.9912513521698,-21.9059810173346,3
C230517005_CELL5211_N1,-18.344089219925,23.9576407054468,2
C230517005_CELL5219_N1,-11.6996030017836,46.1266879453113,2
C230517005_CELL524_N1,50.9952673373458,0.355568989541505,1
C230517005_CELL5260_N1,16.7986790195102,14.2588973467968,2
C230517005_CELL5266_N1,21.8377427070647,-9.65113763346191,1
